item,mean1,std1,mean2,std2,t,p
1,608.35,546.2653370122002,718.3333333333334,660.0368424060381,-0.579658142475374,0.5654789438310177
2,1193.85,703.9441720537369,888.7142857142857,586.2850111385369,1.5111236941263708,0.1388179792449187
3,1401.95,769.9608653759789,1837.5238095238096,1044.248084463056,-1.5138740535815272,0.13812065572688298
4,725.35,351.5600233246096,659.4285714285714,319.63691454970774,0.6287496920507806,0.5331784340122647
5,701.85,466.33670634447225,747.3809523809524,574.4825912236572,-0.27779257185780687,0.7826389742434225
6,704.45,405.12681250508007,571.8571428571429,468.19763836592404,0.9675625162832026,0.33922512888653855
7,270.15,329.98377551822625,615.7619047619048,435.8944717201521,-2.85149447085756,0.006922983808234672
8,630.2,588.2787201927152,1050.857142857143,885.8251117299783,-1.781730746938851,0.08258136805601156
9,81.6,124.31936801302479,450.2857142857143,371.39213008047744,-4.218015913993904,0.00014192178297933242
10,119.55,154.63011043335507,415.6666666666667,324.69221323175174,-3.697179592145256,0.0006692539316413067
11,316.5,328.0936162936298,548.8095238095239,480.4681695021658,-1.7989594283129184,0.07976710552399327
