item,mean1,std1,mean2,std2,t,p
1,606.6785714285714,649.4570700210633,706.8557692307693,674.9421754199152,-1.028917437385097,0.30485461300866906
2,1013.0357142857143,682.0074982174206,1141.4711538461538,753.6159042898814,-1.2117163578150407,0.2271580734613137
3,1530.452380952381,1061.0579217779568,1916.326923076923,1014.1459790586983,-2.5406186865904856,0.011882724498793703
4,702.0595238095239,610.183605612939,665.0673076923077,419.1776105806447,0.4912942581743012,0.6237975517785375
5,640.7142857142857,430.17602369230735,687.7884615384615,531.8226705164797,-0.656113533602241,0.5125619018611155
6,564.1428571428571,419.45527334139814,573.3269230769231,467.71280795422007,-0.14011250895393185,0.8887227068879712
7,118.07142857142857,262.2512262695111,604.1730769230769,488.0019386064409,-8.218426136700716,3.432955637721442e-14
8,923.4642857142857,955.3312482536332,1245.4711538461538,1041.0065140365919,-2.1869942903921205,0.029990593546889356
9,57.45238095238095,127.59994001980544,309.0480769230769,300.9253166648797,-7.157786453017686,1.839309555303479e-11
10,120.95238095238095,196.4236817834018,386.9423076923077,352.4866953881959,-6.182190415431393,3.910903955384495e-09
11,359.8452380952381,436.4211653798529,591.9615384615385,469.7248300676431,-3.4762776974029954,0.0006328127638464577
