item,mean1,std1,mean2,std2,t,p
1,3694.702383516626,3783.299616169298,4181.536379617888,3422.7588610047874,-0.5307349004959931,0.5974394446942337
2,5349.177355752311,4507.08798369589,5077.619701972555,5632.420929593208,0.19936606924863723,0.8426084605467322
3,11362.711007293137,7395.189419581411,12903.039399077516,6939.932027653926,-0.8398433013555526,0.40412270108017434
4,3178.9252003805113,3494.3364449631335,3213.1866648911678,2554.748013551104,-0.045542993815891004,0.9638163155191093
5,2548.271734688151,3175.757026896416,2477.9520270555972,2573.960300375034,0.0973748998004291,0.9227329866929218
6,3108.761740389725,3779.7090931630173,4272.564434362172,4374.2500572985555,-1.0779255930883676,0.2851131056471335
7,1011.6567387163559,2588.107131440555,2886.9320750510137,3190.893953807129,-2.4218537272685356,0.01828512761972385
8,13771.747791339645,7869.3957168941015,14719.999606181902,8512.857182027532,-0.44239803459440447,0.6596927174525306
9,1865.0216179084075,3897.1480200686415,1866.6355576159679,2677.0066583245693,-0.001983244363560182,0.9984237699341625
10,3470.4696527618203,5083.796379091475,2296.0369892695803,2911.62027268933,1.196069803800137,0.2360818482547646
11,6231.169861995564,4476.890252294285,5623.340912979219,3985.693308763693,0.5654584601151178,0.5737390653564886
