item,mean1,std1,mean2,std2,t,p
1,3642.7042673058786,3573.402123745762,3335.462367898198,3455.3248966316814,0.59694671900847,0.5512688844147919
2,3619.804827739948,3850.2998505698406,3959.1150466457116,4208.5635342978185,-0.5707418287613374,0.5688635410155785
3,9115.92915604915,6460.209694279661,10390.98698373089,6702.848540948758,-1.317795072115953,0.18919302675786395
4,1870.8917354041953,2711.5223104559423,2320.5923206575258,2344.4342823641996,-1.2189476064046048,0.22440773643891673
5,1719.8609014992505,2401.463186896019,1890.008472385867,2325.1251852176047,-0.49156850423073695,0.6236039956725408
6,2141.437307095548,2760.7513336014486,2974.260348704536,3458.8278692996673,-1.7929380007895062,0.0746077300212858
7,1132.3530603016839,2782.822053366917,2191.7597955259,2686.664927068265,-2.6453229720912748,0.008859536836613204
8,8787.521541486805,7485.938100228186,10797.77643933146,8116.475477357212,-1.7475771833737317,0.08218753477721852
9,873.6060010965851,2357.2105328872995,1286.0488580775082,2146.657103230446,-1.253432215981341,0.21162171900392474
10,1362.4056203151263,3144.3562251842486,1491.81353856974,2399.6434018850628,-0.3199724535585027,0.7493483509602701
11,4880.307590604127,4226.595113390048,4916.434733248417,3826.034390378008,-0.06141808500985792,0.9510921952342257
