item,mean1,std1,mean2,std2,t,p
1,2.375,0.806225774829855,2.0625,0.981687158630159,1.099660591935216,0.2772019083589665
2,2.3529411764705883,1.0571882797418488,2.3225806451612905,0.8321496970374802,0.10973911312654352,0.9130936380342125
3,2.5294117647058822,1.0675700831106787,2.074074074074074,0.9577989963342608,1.4691411124330498,0.1492455592679893
4,2.2222222222222223,1.0032626514091005,2.25,0.9665456669582609,-0.0868835563210039,0.931245543191413
5,2.388888888888889,0.7775443160352296,2.7058823529411766,1.0008908687735623,-1.1681051130049633,0.24830414803499304
6,2.3333333333333335,0.9701425001453319,2.4482758620689653,0.869573249052649,-0.42146638802606645,0.6754210523302042
7,2.235294117647059,0.9034248560828042,2.5172413793103448,0.9494618646961631,-0.9893232739044997,0.3279145025832513
8,2.375,1.0878112581387147,2.7037037037037037,0.9120903638942974,-1.0630858997808876,0.2939645836799997
9,2.066666666666667,1.0997835284835873,2.6333333333333333,0.99942512211403,-1.7344251072545318,0.09000705309432759
10,2.473684210526316,0.964274111134126,2.3793103448275863,1.1152768107210065,0.3020026388635041,0.7640112981686382
11,2.789473684210526,0.9176629354822471,2.9583333333333335,0.999093792292346,-0.5703100778015795,0.5715797792131108
